S1_mean,S1_slope_polyfit,S2_mean,S2_slope_polyfit,S3_mean,S3_slope_polyfit,S4_mean,S4_slope_polyfit,S5_mean,S5_slope_polyfit,S6_mean,S6_slope_polyfit,S7_mean,S7_slope_polyfit,S8_mean,S8_slope_polyfit,S9_mean,S9_slope_polyfit,S10_mean,S10_slope_polyfit,S11_mean,S11_slope_polyfit,S12_mean,S12_slope_polyfit,S13_mean,S13_slope_polyfit,S14_mean,S14_slope_polyfit,S15_mean,S15_slope_polyfit,S16_mean,S16_slope_polyfit,class
0.11227,0.091463,0.093672,0.067872,-0.1655,-0.22554,-0.26532,-0.27894,-0.16018,-0.15257,-0.17792,-0.26461,0.21119,0.20886,0.19244,0.16343,-0.0012478,-0.0032175,-0.0048893,-0.0077521,-0.01716,-0.020941,-0.022789,-0.023798,-0.017325,-0.017017,-0.019069,-0.02549,0.0047182,0.0042974,0.003215,0.0011482,15
-0.25984,-0.25822,-0.31828,-0.35753,0.054871,0.10445,0.13682,0.072644,0.0095462,0.097433,0.050979,0.043377,-0.17476,-0.20812,-0.23669,-0.23675,-0.0071807,-0.0052406,-0.0062461,-0.008118,0.0056146,0.0082897,0.010326,0.005873,0.0066962,0.0087434,0.0060322,0.0059063,-0.0025684,-0.0026077,-0.0034355,-0.0027495,15
0.045141,-0.070614,-0.16139,-0.20645,-0.24078,-0.28981,-0.42542,-0.43915,-0.064902,-0.033847,-0.13284,-0.24099,0.078424,0.0017804,-0.07496,-0.20608,0.0069777,0.0018801,-0.00032926,-0.00014546,-0.01581,-0.017948,-0.024807,-0.024367,-0.00027869,-0.0014055,-0.0048865,-0.007694,0.012931,0.011623,0.0096645,0.0045421,15
-0.72649,-0.73281,-0.89964,-1.0023,-0.028114,0.032823,-0.043559,-0.16961,-0.19792,-0.070565,-0.19785,-0.26499,-0.71826,-0.7557,-0.83602,-0.88342,-0.030169,-0.032307,-0.040634,-0.045351,0.0083024,0.013006,0.0073609,0.0010194,0.0041859,0.010118,0.0012699,-0.0019418,-0.032989,-0.034079,-0.038925,-0.042243,15
-0.12348,-0.14233,-0.18379,-0.22936,-0.023071,-0.021351,-0.085544,-0.086944,-0.092034,0.058184,-0.012536,-0.071991,-0.14269,-0.19173,-0.26249,-0.34038,-0.0079696,-0.0093604,-0.010698,-0.012578,-0.0041869,-0.0049937,-0.0078528,-0.0076198,-0.0018344,0.0067026,0.0020379,-0.00050683,-0.0070924,-0.0075524,-0.010226,-0.01303,15
-0.40734,-0.43898,-0.50298,-0.5409,-0.21254,-0.23358,-0.33689,-0.39225,-0.30514,-0.21054,-0.2858,-0.33806,-0.23519,-0.27927,-0.32277,-0.36223,-0.019881,-0.020767,-0.023285,-0.024116,-0.0044268,-0.0043904,-0.0073559,-0.0096838,-0.0015461,0.0013701,-0.0026745,-0.0025892,-0.006104,-0.0049105,-0.0065954,-0.0062769,15
-0.1764,-0.30223,-0.36523,-0.38519,0.020702,0.031321,-0.067484,-0.1299,-0.061815,-0.0076068,-0.14139,-0.26404,-0.11104,-0.1613,-0.23273,-0.38667,-0.014946,-0.022947,-0.02878,-0.032335,-0.0066784,-0.0066365,-0.012503,-0.017639,-0.010818,-0.010308,-0.017417,-0.025188,-0.014222,-0.016792,-0.019918,-0.028404,15
-0.28147,-0.32474,-0.38068,-0.37569,-0.10783,-0.10223,-0.16993,-0.15086,-0.010099,0.10415,-0.0089051,-0.048054,-0.058174,-0.093136,-0.16978,-0.23464,-0.017832,-0.021476,-0.025647,-0.025068,-0.010128,-0.010736,-0.015799,-0.016255,-0.0040062,-0.00045739,-0.0063442,-0.0082821,-0.0040573,-0.0056565,-0.0082095,-0.011127,15
-0.57821,-0.56971,-0.60208,-0.62827,-0.24391,-0.28219,-0.33191,-0.36382,-0.2777,-0.23521,-0.28831,-0.3352,-0.31142,-0.34421,-0.41523,-0.44984,-0.036719,-0.034789,-0.036229,-0.03711,-0.0070951,-0.0075446,-0.0087814,-0.010562,-0.0080107,-0.0066641,-0.0082697,-0.0097911,-0.020414,-0.022824,-0.027955,-0.030122,15
0.14876,0.10463,0.11014,0.095645,0.16268,0.19423,0.23719,0.2173,0.13317,0.16508,0.15627,0.14597,0.060806,0.045412,0.0095668,-0.063467,0.021845,0.018821,0.020825,0.020757,0.0090492,0.010671,0.014289,0.013418,0.014193,0.013623,0.013367,0.013044,0.013749,0.013653,0.013429,0.0091301,15
