Subject:	S906
Project:	BesteRTMusic
Time:	2015-03-05_11-17-38

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
254	40680.443	3604.541	1;baselinestart;1425572280298;	1	baselinestart	1425572280298	
950	40739.462	3663.586	1;baselineend;1425572339313;	1	baselineend	1425572339313	
1023	40745.655	3669.783	8;easystart;1425572345475;	8	easystart	1425572345475	
1684	40801.663	3725.824	10;easystart;1425572401578;	10	easystart	1425572401578	
2038	40831.678	3755.840	10;easyend;1425572431581;	10	easyend	1425572431581	
2345	40857.748	3781.908	11;easystart;1425572457642;	11	easystart	1425572457642	
2699	40887.795	3811.945	11;easyend;1425572487645;	11	easyend	1425572487645	
3006	40913.801	3837.948	7;easystart;1425572513699;	7	easystart	1425572513699	
3360	40943.816	3867.986	7;easyend;1425572543702;	7	easyend	1425572543702	
3667	40969.884	3894.032	17;hardstart;1425572569781;	17	hardstart	1425572569781	
4021	40999.871	3924.069	17;hardend;1425572599784;	17	hardend	1425572599784	
4329	41025.952	3950.158	20;hardstart;1425572625852;	20	hardstart	1425572625852	
4683	41056.002	3980.195	20;hardend;1425572655855;	20	hardend	1425572655855	
4989	41082.007	4006.156	9;easystart;1425572681913;	9	easystart	1425572681913	
5344	41112.086	4036.278	9;easyend;1425572711917;	9	easyend	1425572711917	
5651	41138.092	4062.303	2;easystart;1425572737971;	2	easystart	1425572737971	
6004	41168.063	4092.255	2;easyend;1425572767974;	2	easyend	1425572767974	
6552	41214.521	4138.699	13;hardstart;1425572814314;	13	hardstart	1425572814314	
6905	41244.427	4168.651	13;hardend;1425572844317;	13	hardend	1425572844317	
7212	41270.497	4194.720	12;easystart;1425572870382;	12	easystart	1425572870382	
7566	41300.513	4224.735	12;easyend;1425572900385;	12	easyend	1425572900385	
7874	41326.612	4250.843	14;hardstart;1425572926429;	14	hardstart	1425572926429	
8227	41356.550	4280.776	14;hardend;1425572956432;	14	hardend	1425572956432	
8534	41382.555	4306.843	3;easystart;1425572982478;	3	easystart	1425572982478	
8888	41412.618	4336.880	3;easyend;1425573012481;	3	easyend	1425573012481	
9195	41438.640	4362.884	4;easystart;1425573038540;	4	easystart	1425573038540	
9549	41468.689	4392.922	4;easyend;1425573068543;	4	easyend	1425573068543	
9857	41494.802	4419.052	16;hardstart;1425573094598;	16	hardstart	1425573094598	
10210	41524.756	4449.005	16;hardend;1425573124601;	16	hardend	1425573124601	
10518	41550.810	4475.094	15;hardstart;1425573150695;	15	hardstart	1425573150695	
10872	41580.874	4505.130	15;hardend;1425573180698;	15	hardend	1425573180698	
11179	41606.863	4531.198	21;hardstart;1425573206756;	21	hardstart	1425573206756	
