Subject:	S1111
Project:	BesteRTMusic
Time:	2015-03-31_11-11-55

Matlab_now	Increasing Marker	BoxyTime	Marker	A-DC1	A-DC2	A-DC3	A-DC4	A-DC5	A-DC6	A-DC7	A-DC8	B-DC1	B-DC2	B-DC3	B-DC4	B-DC5	B-DC6	B-DC7	B-DC8
40315.954	0	3362.208	0	1974.000	529.300	157.400	42.000	1398.000	373.500	103.500	24.660	225.100	59.590	17.800	5.900	425.900	116.100	35.650	13.320	
40316.059	0	3362.292	0	1963.000	530.300	157.300	41.780	1396.000	374.700	103.400	24.750	227.000	59.320	17.800	5.880	424.800	116.000	35.590	13.330	
40316.135	0	3362.377	0	1963.000	527.000	156.900	41.840	1400.000	374.800	103.200	24.610	224.900	59.350	17.740	5.896	425.600	116.000	35.590	13.330	
40316.236	0	3362.461	0	1970.000	528.800	157.800	41.790	1400.000	373.700	103.500	24.680	225.400	59.240	17.790	5.888	424.600	115.900	35.640	13.380	
40316.351	0	3362.545	0	1969.000	530.600	158.000	41.920	1397.000	374.400	103.300	24.720	224.700	59.310	17.790	5.908	424.900	115.800	35.730	13.350	
40316.451	0	3362.629	0	1964.000	533.400	158.200	41.930	1400.000	374.700	103.300	24.650	226.800	59.390	17.760	5.876	426.100	116.300	35.730	13.410	
40316.554	0	3362.713	0	1967.000	532.500	158.300	42.040	1400.000	373.700	103.600	24.780	225.400	59.200	17.800	5.909	426.000	116.100	35.740	13.390	
40316.567	0	3362.797	0	1971.000	531.900	158.400	42.000	1394.000	372.700	103.400	24.790	226.000	59.060	17.780	5.853	424.200	115.600	35.640	13.280	
40316.591	0	3362.860	0	1962.000	532.900	157.400	41.790	1400.000	373.500	103.700	24.720	224.800	59.200	17.760	5.846	426.300	115.500	35.530	13.270	
40316.753	0	3362.965	0	1967.000	529.200	157.800	41.950	1403.000	374.600	103.400	24.740	228.200	59.330	17.740	5.848	427.500	115.800	35.720	13.260	
40316.795	0	3363.027	0	1977.000	531.200	158.500	41.900	1412.000	375.600	103.800	24.730	227.900	59.110	17.660	5.857	426.200	116.100	35.460	13.250	
40316.911	0	3363.153	0	1968.000	532.700	158.100	41.830	1397.000	376.500	103.800	24.870	226.400	59.220	17.660	5.867	427.100	116.300	35.530	13.240	
40317.034	0	3363.237	0	1975.000	530.500	158.200	41.880	1402.000	376.600	103.900	24.780	227.200	59.080	17.710	5.832	426.200	116.200	35.670	13.370	
40317.130	0	3363.321	0	1977.000	533.000	158.500	42.040	1405.000	376.400	104.100	24.920	227.300	59.480	17.680	5.882	427.500	116.300	35.510	13.240	
40317.231	0	3363.405	0	1972.000	532.300	157.800	41.860	1400.000	374.800	104.000	24.750	227.300	59.180	17.710	5.853	424.800	115.500	35.260	13.190	
40317.347	0	3363.490	0	1965.000	530.300	157.700	41.780	1401.000	374.500	103.900	24.850	226.500	58.950	17.670	5.819	424.000	115.300	35.330	13.220	
40317.360	0	3363.574	0	1967.000	531.900	158.100	41.700	1399.000	376.400	104.100	24.810	223.400	59.220	17.570	5.855	424.300	115.300	35.400	13.170	
