Subject:	S1111
Project:	BesteRTMusic
Time:	2015-03-31_11-23-45

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
152	41038.794	4085.032	1;baselinestart;1427815441079;	1	baselinestart	1427815441079	
848	41097.815	4144.078	1;baselineend;1427815500080;	1	baselineend	1427815500080	
921	41103.980	4150.253	22;hardstart;1427815506233;	22	hardstart	1427815506233	
1275	41134.010	4180.289	22;hardend;1427815536236;	22	hardend	1427815536236	
1583	41160.132	4206.421	23;hardstart;1427815562376;	23	hardstart	1427815562376	
1936	41190.031	4236.331	23;hardend;1427815592377;	23	hardend	1427815592377	
2245	41216.265	4262.545	17;hardstart;1427815618492;	17	hardstart	1427815618492	
2598	41246.183	4292.499	17;hardend;1427815648493;	17	hardend	1427815648493	
2906	41272.370	4318.629	6;easystart;1427815674554;	6	easystart	1427815674554	
3260	41302.315	4348.625	6;easyend;1427815704556;	6	easyend	1427815704556	
3566	41328.327	4374.607	13;hardstart;1427815730612;	13	hardstart	1427815730612	
3921	41358.392	4404.707	13;hardend;1427815760614;	13	hardend	1427815760614	
4228	41384.447	4430.775	5;easystart;1427815786664;	5	easystart	1427815786664	
4581	41414.382	4460.686	5;easyend;1427815816666;	5	easyend	1427815816666	
4888	41440.376	4486.732	2;easystart;1427815842694;	2	easystart	1427815842694	
5242	41470.388	4516.768	2;easyend;1427815872695;	2	easyend	1427815872695	
5549	41496.460	4542.795	21;hardstart;1427815898760;	21	hardstart	1427815898760	
5904	41526.541	4572.894	21;hardend;1427815928761;	21	hardend	1427815928761	
6337	41563.323	4609.653	7;easystart;1427815965567;	7	easystart	1427815965567	
6691	41593.300	4639.669	7;easyend;1427815995568;	7	easyend	1427815995568	
6999	41619.409	4665.779	10;easystart;1427816021645;	10	easystart	1427816021645	
7353	41649.422	4695.794	10;easyend;1427816051647;	10	easyend	1427816051647	
7661	41675.545	4721.946	9;easystart;1427816077737;	9	easystart	1427816077737	
8014	41705.562	4751.878	9;easyend;1427816107739;	9	easyend	1427816107739	
8323	41731.726	4778.071	16;hardstart;1427816133942;	16	hardstart	1427816133942	
