Subject:	S1112
Project:	BesteRTMusic
Time:	2015-04-01_15-19-21

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
501	55204.017	7992.316	1;baselinestart;1427916003898;	1	baselinestart	1427916003898	
1197	55262.964	8051.340	1;baselineend;1427916062916;	1	baselineend	1427916062916	
1270	55269.209	8057.537	2;easystart;1427916069137;	2	easystart	1427916069137	
1624	55299.162	8087.552	2;easyend;1427916099140;	2	easyend	1427916099140	
1932	55325.309	8113.704	12;easystart;1427916125284;	12	easystart	1427916125284	
2286	55355.309	8143.699	12;easyend;1427916155287;	12	easyend	1427916155287	
2594	55381.479	8169.829	3;easystart;1427916181337;	3	easystart	1427916181337	
2947	55411.434	8199.783	3;easyend;1427916211339;	3	easyend	1427916211339	
3254	55437.451	8225.828	19;hardstart;1427916237386;	19	hardstart	1427916237386	
3608	55467.503	8255.824	19;hardend;1427916267388;	19	hardend	1427916267388	
3916	55493.476	8281.975	14;hardstart;1427916293442;	14	hardstart	1427916293442	
4269	55523.492	8311.907	14;hardend;1427916323445;	14	hardend	1427916323445	
4576	55549.604	8337.975	4;easystart;1427916349500;	4	easystart	1427916349500	
4929	55579.542	8367.865	4;easyend;1427916379503;	4	easyend	1427916379503	
5591	55635.641	8424.053	13;hardend;1427916435555;	13	hardend	1427916435555	
5898	55661.665	8450.057	7;easystart;1427916461641;	7	easystart	1427916461641	
6253	55691.768	8480.179	7;easyend;1427916491643;	7	easyend	1427916491643	
7676	55812.483	8600.873	9;easystart;1427916612400;	9	easystart	1427916612400	
8031	55842.497	8630.972	9;easyend;1427916642399;	9	easyend	1427916642399	
8337	55868.533	8656.956	10;easystart;1427916668449;	10	easystart	1427916668449	
8692	55898.598	8687.056	10;easyend;1427916698449;	10	easyend	1427916698449	
8999	55924.676	8713.082	18;hardstart;1427916724493;	18	hardstart	1427916724493	
9659	55980.605	8769.081	23;hardstart;1427916780538;	23	hardstart	1427916780538	
10013	56010.659	8799.117	23;hardend;1427916810537;	23	hardend	1427916810537	
10982	56092.707	8881.311	8;easystart;1427916892649;	8	easystart	1427916892649	
11334	56122.702	8911.180	8;easyend;1427916922649;	8	easyend	1427916922649	
11641	56148.784	8937.183	11;easystart;1427916948696;	11	easystart	1427916948696	
11996	56178.817	8967.306	11;easyend;1427916978696;	11	easyend	1427916978696	
12304	56204.943	8993.435	22;hardstart;1427917004751;	22	hardstart	1427917004751	
12657	56234.886	9023.388	22;hardend;1427917034751;	22	hardend	1427917034751	
13246	56284.772	9073.317	20;hardstart;1427917084652;	20	hardstart	1427917084652	
13600	56314.802	9103.354	20;hardend;1427917114651;	20	hardend	1427917114651	
13906	56340.817	9129.317	6;easystart;1427917140715;	6	easystart	1427917140715	
14261	56370.868	9159.396	6;easyend;1427917170714;	6	easyend	1427917170714	
14568	56396.916	9185.462	17;hardstart;1427917196753;	17	hardstart	1427917196753	
14922	56426.821	9215.501	17;hardend;1427917226752;	17	hardend	1427917226752	
15229	56452.977	9241.546	16;hardstart;1427917252800;	16	hardstart	1427917252800	
15583	56482.955	9271.541	16;hardend;1427917282799;	16	hardend	1427917282799	
15891	56509.043	9297.672	5;easystart;1427917308845;	5	easystart	1427917308845	
16244	56539.000	9327.624	5;easyend;1427917338845;	5	easyend	1427917338845	
16551	56565.077	9353.630	15;hardstart;1427917364895;	15	hardstart	1427917364895	
16905	56595.047	9383.666	15;hardend;1427917394895;	15	hardend	1427917394895	
16906	56595.300	9383.750	100;experimentfinished;1427917394900;	100	experimentfinished	1427917394900	
17263	56676.897	9465.607	e;18.3;81.7	e	18.3	81.7	
17269	56677.425	9466.131	e;17.0;83.0	e	17.0	83.0	
17276	56678.077	9466.720	e;15.7;84.3	e	15.7	84.3	
17282	56678.521	9467.244	e;18.3;81.7	e	18.3	81.7	
17287	56678.997	9467.665	e;18.4;81.6	e	18.4	81.6	
17294	56679.623	9468.232	e;18.4;81.6	e	18.4	81.6	
17299	56680.003	9468.672	h;83.8;16.2	h	83.8	16.2	
17305	56680.424	9469.156	h;73.9;26.1	h	73.9	26.1	
17311	56681.063	9469.703	h;75.7;24.3	h	75.7	24.3	
17318	56681.571	9470.269	e;46.2;53.8	e	46.2	53.8	
17323	56682.077	9470.732	e;36.4;63.6	e	36.4	63.6	
17329	56682.576	9471.215	e;35.6;64.4	e	35.6	64.4	
17335	56682.965	9471.697	e;35.4;64.6	e	35.4	64.6	
17341	56683.538	9472.244	e;35.2;64.8	e	35.2	64.8	
17347	56684.113	9472.728	e;41.8;58.2	e	41.8	58.2	
17353	56684.650	9473.273	e;29.0;71.0	e	29.0	71.0	
17359	56685.150	9473.757	h;56.2;43.8	h	56.2	43.8	
