,Participant ID,Video,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
1,11,CCC,65,5,25,0,75,0
2,13,CCC,15,25,30,25,25,5
3,16,CCC,0,5,5,5,0,5
4,17,CCC,30,10,0,15,25,0
5,1,CCC,60,0,65,15,45,10
6,20,CCC,75,65,45,85,65,75
7,22,CCC,70,5,35,15,40,25
8,4,CCC,30,30,20,20,60,30
9,5,CCC,25,0,15,30,50,55
10,8,CCC,45,0,0,100,25,0
11,9,CCC,20,0,25,20,15,20
12,10,FPB,20,5,10,0,25,5
13,14,FPB,90,15,75,25,85,75
14,15,FPB,25,25,20,5,40,0
15,18,FPB,45,10,5,15,55,25
16,19,FPB,65,40,60,70,60,45
17,21,FPB,25,25,20,5,75,20
18,2,FPB,20,10,25,15,15,35
19,3,FPB,65,5,55,10,80,15
20,6,FPB,60,0,45,60,60,15
21,7,FPB,65,45,35,10,35,15
22,12,FPB,40,0,0,45,50,45
