Rating,Video Understanding,Participant
2,5,Blind 2
4,5,Blind 2
5,5,Blind 2
2,5,Blind 2
4,5,Blind 2
5,5,Blind 2
4,5,Blind 2
5,5,Blind 2
3,5,Blind 2
5,5,Blind 2
4,3,Blind 10
1,3,Blind 10
4,3,Blind 10
3,3,Blind 10
3,2,Blind 10
3,3,Blind 10
3,3,Blind 10
1,3,Blind 10
3,3,Blind 10
4,3,Blind 10
3,5,Blind 13
5,5,Blind 13
3,4,Blind 13
5,5,Blind 13
5,5,Blind 13
3,4,Blind 13
4,4,Blind 13
4,5,Blind 13
5,5,Blind 13
4,5,Blind 13
5,5,Blind 13
3,4,Blind 6
4,5,Blind 6
5,5,Blind 6
5,5,Blind 6
4,4,Blind 6
3,4,Blind 6
3,4,Blind 6
3,3,Blind 6
5,5,Blind 6
4,5,Blind 6
5,5,Blind 3
5,5,Blind 3
5,5,Blind 3
5,5,Blind 3
5,5,Blind 3
3,5,Blind 3
4,5,Blind 3
5,5,Blind 3
4,5,Blind 3
5,5,Blind 3
3,5,Blind 3
5,5,Blind 12
5,5,Blind 12
5,5,Blind 12
5,5,Blind 12
5,5,Blind 12
3,4,Blind 12
5,5,Blind 12
5,5,Blind 12
5,5,Blind 12
4,4,Blind 12
2,3,Blind 17
4,3,Blind 17
4,3,Blind 17
4,4,Blind 17
5,5,Blind 17
4,3,Blind 17
4,4,Blind 17
4,4,Blind 17
5,5,Blind 17
5,5,Blind 17
4,4,Blind 17
4,4,Blind 11
3,4,Blind 11
4,4,Blind 11
4,4,Blind 11
4,4,Blind 11
2,2,Blind 11
4,4,Blind 11
3,3,Blind 11
3,3,Blind 11
4,4,Blind 11
2,2,Blind 11
5,5,Blind 5
5,5,Blind 5
2,3,Blind 5
3,3,Blind 5
5,5,Blind 5
4,4,Blind 5
4,4,Blind 5
5,5,Blind 5
5,5,Blind 5
5,5,Blind 5
3,3,Blind 5
4,4,Blind 8
4,3,Blind 8
4,4,Blind 8
5,4,Blind 8
5,4,Blind 8
4,4,Blind 8
4,5,Blind 8
5,5,Blind 8
5,4,Blind 8
5,5,Blind 8
3,3,Blind 16
4,4,Blind 16
4,4,Blind 16
4,4,Blind 16
2,3,Blind 16
4,4,Blind 16
4,5,Blind 16
4,4,Blind 16
4,4,Blind 16
4,4,Blind 16
