Rating,Video Understanding,Participant
1,5,Blind 2
3,5,Blind 2
4,5,Blind 2
2,5,Blind 2
1,5,Blind 2
2,5,Blind 2
2,5,Blind 2
1,5,Blind 2
5,5,Blind 2
5,5,Blind 2
3,3,Blind 10
4,2,Blind 10
3,3,Blind 10
3,2,Blind 10
4,3,Blind 10
3,2,Blind 10
3,2,Blind 10
3,3,Blind 10
3,3,Blind 10
3,4,Blind 10
1,4,Blind 13
5,5,Blind 13
4,4,Blind 13
4,5,Blind 13
4,5,Blind 13
3,4,Blind 13
5,5,Blind 13
1,1,Blind 13
5,4,Blind 13
4,4,Blind 13
4,4,Blind 13
1,1,Blind 6
2,2,Blind 6
3,4,Blind 6
2,3,Blind 6
3,3,Blind 6
3,4,Blind 6
2,3,Blind 6
2,3,Blind 6
4,5,Blind 6
4,4,Blind 6
4,5,Blind 3
4,5,Blind 3
5,5,Blind 3
4,5,Blind 3
5,5,Blind 3
4,5,Blind 3
5,5,Blind 3
3,5,Blind 3
5,5,Blind 3
5,5,Blind 3
4,5,Blind 3
4,5,Blind 12
4,4,Blind 12
5,5,Blind 12
5,4,Blind 12
5,5,Blind 12
5,5,Blind 12
3,4,Blind 12
5,5,Blind 12
5,5,Blind 12
4,4,Blind 12
1,2,Blind 17
4,4,Blind 17
4,4,Blind 17
4,3,Blind 17
5,4,Blind 17
3,3,Blind 17
1,1,Blind 17
3,3,Blind 17
5,4,Blind 17
4,3,Blind 17
4,4,Blind 17
1,1,Blind 11
2,3,Blind 11
3,3,Blind 11
3,3,Blind 11
4,4,Blind 11
1,2,Blind 11
1,3,Blind 11
1,2,Blind 11
2,3,Blind 11
4,4,Blind 11
2,2,Blind 11
2,3,Blind 5
3,4,Blind 5
3,4,Blind 5
3,3,Blind 5
5,5,Blind 5
4,4,Blind 5
4,4,Blind 5
3,3,Blind 5
5,5,Blind 5
5,5,Blind 5
4,4,Blind 5
4,4,Blind 8
4,4,Blind 8
4,4,Blind 8
4,4,Blind 8
4,5,Blind 8
4,5,Blind 8
3,3,Blind 8
4,4,Blind 8
5,4,Blind 8
5,5,Blind 8
4,4,Blind 16
5,5,Blind 16
5,5,Blind 16
2,3,Blind 16
2,2,Blind 16
5,5,Blind 16
2,3,Blind 16
5,5,Blind 16
4,4,Blind 16
4,4,Blind 16
