Participant No,Video,Human-Only,Time in Sec,Data in Decimal,,,,,,,,,,,,,,,,,
2,CCC,00:23:33,1413,0.0163541666666667,,,,,,,,,,,,,,,,,
3,CCC,00:22:28,1348,0.0156018518518519,,,,,,,,,,,,,,,,,
7,CCC,00:14:13,853,0.00987268518518519,,,,,,,,,,,,,,,,,
10,CCC,00:22:23,1343,0.0155439814814815,,,,,,,,,,,,,,,,,
12,CCC,00:26:17,1577,0.0182523148148148,,,,,,,,,,,,,,,,,
14,CCC,00:21:53,1313,0.0151967592592593,,,,,,,,,,,,,,,,,
15,CCC,00:27:14,1634,0.018912037037037,,,,,,,,,,,,,,,,,
18,CCC,00:21:36,1296,0.015,,,,,,,,,,,,,,,,,
19,CCC,00:47:14,2834,0.0328009259259259,,,,,,,,,,,,,,,,,
6,CCC,00:35:30,2130,0.0246527777777778,,,,,,,,,,,,,,,,,
21,CCC,00:36:05,2165,0.0250578703703704,,,,,,,,,,,,,,,,,
1,FPB,0h 30m 8s,1808,0.0209259259259259,,,,,,,,,,,,,,,,,
4,FPB,00:13:21,801,0.00927083333333333,,,,,,,,,,,,,,,,,
5,FPB,00:24:15,1455,0.0168402777777778,,,,,,,,,,,,,,,,,
8,FPB,00:49:25,2965,0.0343171296296296,,,,,,,,,,,,,,,,,
9,FPB,00:51:57,3117,0.0360763888888889,,,,,,,,,,,,,,,,,
11,FPB,00:27:58,1678,0.0194212962962963,,,,,,,,,,,,,,,,,
13,FPB,00:33:01,1981,0.0229282407407407,,,,,,,,,,,,,,,,,
16,FPB,00:24:14,1454,0.0168287037037037,,,,,,,,,,,,,,,,,
17,FPB,00:33:43,2023,0.0234143518518519,,,,,,,,,,,,,,,,,
20,FPB,00:49:01,2941,0.0340393518518518,,,,,,,,,,,,,,,,,
22,FPB,00:33:51,2031,0.0235069444444444,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
